AC499,KLTN ngành Kế toán,KLTNKETOAN.1,1,1-1,BOMON,6,Bộ môn Kinh tế(CQ)
BA414,Kỹ năng lãnh đạo,KYNANGLANHDAO.1,6,8-10,B307,2,Vương Thị Thanh Trì(CQM004)
IM201,Kỹ năng soạn thảo VB (MS office),KNSOANTHAOVB(MSOFFICE).1,2,6-10,B505,3,Nguyễn Mạnh Hùng(CTI010)
IM201,Kỹ năng soạn thảo VB (MS office),KNSOANTHAOVB(MSOFFICE).2,3,1-5,B505,3,Nguyễn Mạnh Hùng(CTI010)
IM201,Kỹ năng soạn thảo VB (MS office),KNSOANTHAOVB(MSOFFICE).3,4,1-5,B505,3,Cao Minh Khánh(CTI017)
IM201,Kỹ năng soạn thảo VB (MS office),KNSOANTHAOVB(MSOFFICE).4,5,6-10,B505,3,Phạm Thị Kim Hoa(CTI003)
IM201,Kỹ năng soạn thảo VB (MS office),KNSOANTHAOVB(MSOFFICE).5,6,1-5,B505,3,Phạm Phương Thanh(CTI018)
IM201,Kỹ năng soạn thảo VB (MS office),KNSOANTHAOVB(MSOFFICE).6,6,6-10,B505,3,Trần Thị Huệ(CTI014)
AC418,Lập và phân tích báo cáo tài chính,LAPPHANTICHBCTC.2,3,6-10,B210,3,Vũ Thị Kim Lan(CQA005)
AC418,Lập và phân tích báo cáo tài chính,LAPPHANTICHBCTC.1,4,1-5,B110,3,Đoàn Thị Hồng Nhung(CQA001)
NR416A,Lý thuyết chăm sóc SK người cao tuổi và BN hấp hối,LTSKHOENCAOTUOI.1 (TC),4,10-11,B403,1,
NR303A,Lý thuyết điều dưỡng phục hồi chức năng,LTPHUCHOICN.1 (TC),2,10-11,A606,1,
AC362,Lý thuyết kiểm toán,LTKIEMTOAN.1,4,6-8,A607,2,Đào Diệu Hằng(CQA003)
FN201,Lý thuyết tài chính tiền tệ,LTTAICHINHTTE.1,4,6-10,B201,3,Nguyễn Thị Tuyết(CQB022)
MK420,Marketing công nghiệp,MARKETINGCN.1,2,6-10,B705,3,Nguyễn Tường Minh(CQM016)
MK420,Marketing công nghiệp,MARKETINGCN.2,5,1-5,B312,3,Nguyễn Tường Minh(CQM016)
MK333,Marketing dịch vụ,MARKETINGDV.1,5,6-8,B708,2,Trương Đức Thao(CQL002)
MK331,Marketing ngân hàng,MARKETINGNH.1,3,8-10,B307,2,Nguyễn Bảo Tuấn(CQM009)
MK418,Marketing quốc tế,MARKETINGQT.1,3,6-8,B103,2,Vũ Thị Tuyết(CQM002)
MK337,Marketing trong kinh doanh du lịch,MARKETINGDULICH.2,2,3-5,B408,2,Phạm Trần Thăng Long(CDL004)
MK337,Marketing trong kinh doanh du lịch,MARKETINGDULICH.1,4,6-8,B710,2,Phạm Trần Thăng Long(CDL004)
AD214,Nâng cao chất lượng giọng hát,NCAOGIONGHAT.1,3,3-5,B814,3,Hoàng Bích Hà(CAN003)
AD214,Nâng cao chất lượng giọng hát,NCAOGIONGHAT.1,5,6-7,B814,3,Hoàng Bích Hà(CAN003)
BK201,Ngân hàng thương mại 1,NGANHANGTM1.3,3,4-5,Acorebank,3,Lê Thị Hà Thu(CQB007)
BK201,Ngân hàng thương mại 1,NGANHANGTM1.1,3,6-10,Acorebank,3,Lê Thị Hà Thu(CQB007)
BK201,Ngân hàng thương mại 1,NGANHANGTM1.2,4,6-7,Acorebank,3,Lê Thị Hà Thu(CQB007)
BK201,Ngân hàng thương mại 1,NGANHANGTM1.1,5,4-5,Acorebank,3,Lê Thị Hà Thu(CQB007)
BK201,Ngân hàng thương mại 1,NGANHANGTM1.2,5,6-10,Acorebank,3,Lê Thị Hà Thu(CQB007)
BK201,Ngân hàng thương mại 1,NGANHANGTM1.3,7,1-5,Acorebank,3,Lê Thị Hà Thu(CQB007)
BK302,Ngân hàng thương mại 2,NGANHANGTM2.2,2,6-10,Acorebank,3,Lê Thị Hà Thu(CQB007)
BK302,Ngân hàng thương mại 2,NGANHANGTM2.1,4,1-2,Acorebank,3,Nguyễn Thị Thúy(CQB005)
BK302,Ngân hàng thương mại 2,NGANHANGTM2.2,4,4-5,Acorebank,3,Lê Thị Hà Thu(CQB007)
BK302,Ngân hàng thương mại 2,NGANHANGTM2.1,6,1-5,Acorebank,3,Nguyễn Thị Thúy(CQB005)
MK302,Nghiên cứu marketing,NCUUMARKETING.1,3,1-5,A401,3,Vũ Thị Tuyết(CQM002)
MK302,Nghiên cứu marketing,NCUUMARKETING.2,5,1-5,B203,3,Vũ Thị Tuyết(CQM002)
TR335,Nghiệp vụ chế biến các món ăn,NVUCHEBIENMONAN.1,2,1-5,BOMON,3,Trần Quốc Hưng(MDL001)
TR335,Nghiệp vụ chế biến các món ăn,NVUCHEBIENMONAN.2,2,6-10,BOMON,3,Trần Quốc Hưng(MDL001)
TR331,Nghiệp vụ lễ tân,NVULETAN.1,4,6-10,Afinance,3,Trần Thu Nga(MDL007)
TR331,Nghiệp vụ lễ tân,NVULETAN.3,5,6-10,Afinance,3,Trần Thu Nga(MDL007)
TR331,Nghiệp vụ lễ tân,NVULETAN.2,6,6-10,Afinance,3,Trần Thu Nga(MDL007)
TR333,Nghiệp vụ phục vụ Bàn,NVUBAN.1,2,6-10,B410,3,Đỗ Thiện Dụng(CDL010)
TR333,Nghiệp vụ phục vụ Bàn,NVUBAN.2,3,1-5,B610,3,Đỗ Thiện Dụng(CDL010)
TR333,Nghiệp vụ phục vụ Bàn,NVUBAN.3,6,1-5,BOMON,3,Đỗ Thiện Dụng(CDL010)
TR334,Nghiệp vụ phục vụ Bar,NGHIEPVUBAR.1,4,1-5,BOMON,3,Nguyễn Thị Thanh Hương(CDL011)
TR334,Nghiệp vụ phục vụ Bar,NGHIEPVUBAR.2,4,6-10,BOMON,3,Nguyễn Thị Thanh Hương(CDL011)
TR334,Nghiệp vụ phục vụ Bar,NGHIEPVUBAR.3,5,6-10,BOMON,3,Nguyễn Thị Thanh Hương(CDL011)
TR332,Nghiệp vụ phục vụ buồng,NVUBUONG.1,2,6-10,BOMON,3,Nguyễn Thị Thanh Hương(CDL011)
TR332,Nghiệp vụ phục vụ buồng,NVUBUONG.2,3,1-5,BOMON,3,Nguyễn Thị Thanh Hương(CDL011)
TR332,Nghiệp vụ phục vụ buồng,NVUBUONG.3,3,6-10,BOMON,3,Trần Thu Nga(MDL007)
AC201,Nguyên lý kế toán,NLKETOAN.3,4,6-8,A402,3,Nguyễn Thu Hoài(CQA007)
AC201,Nguyên lý kế toán,NLKETOAN.2,4,8-10,A403,3,Nguyễn Thanh Huyền(CQA002)
AC201,Nguyên lý kế toán,NLKETOAN.3,6,4-5,A502,3,Nguyễn Thu Hoài(CQA007)
AC201,Nguyên lý kế toán,NLKETOAN.2,6,6-7,A403,3,Nguyễn Thanh Huyền(CQA002)
AC201,Nguyên lý kế toán,NLKETOAN.1,7,1-5,B201,3,Nguyễn Thanh Huyền(CQA002)
AC344,Phân tích hoạt động kinh doanh,PHANTICHHDKD.1,2,8-10,B302,2,Nguyễn Thanh Thủy(CQL004)
FN418,Phân tích tài chính doanh nghiệp,PTTAICHINHDN.1,5,1-3,B704,2,Đỗ Trường Sơn(CQB017)
BA222,Phân tích và lập dự án,PTLAPDUAN.2,4,6-10,B503,3,Đỗ Trường Sơn(CQB017)
BA222,Phân tích và lập dự án,PTLAPDUAN.1,6,1-5,A506,3,Đỗ Trường Sơn(CQB017)
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,PPHAPHUNGBIEN.1,4,1-5,GD.Grothendieck,3,Hoàng Thái(MGS019)
SM201,Phương pháp luận nghiên cứu khoa học,PPNCKHOAHOC.1,7,1-5,A602,3,Hồ Xuân Ngọc(PDT043)
MK425,Quan hệ công chúng,QHECONGCHUNG.1,5,1-5,A403,3,Phạm Long Châu(CQM006)
BA322,Quản lý dự án,QLDUAN.2,3,1-3,B706,2,Đỗ Trường Sơn(CQB017)
BA322,Quản lý dự án,QLDUAN.1,5,6-8,A607,2,Đỗ Trường Sơn(CQB017)
NR404,Quản lý y tế và Quản lý điều dưỡng,QLDIEUDUONG.2 (TC),1,12-13,A402,3,Lê Thị Bình(CSN011)
NR404,Quản lý y tế và Quản lý điều dưỡng,QLDIEUDUONG.1 (TC),2,10-12,B205,3,Lê Thị Bình(CSN011)
NR404,Quản lý y tế và Quản lý điều dưỡng,QLDIEUDUONG.1 (TC),4,12-13,A402,3,Lê Thị Bình(CSN011)
NR404,Quản lý y tế và Quản lý điều dưỡng,QLDIEUDUONG.2 (TC),5,10-12,A502,3,Lê Thị Bình(CSN011)
MK424,Quản trị bán hàng,QTRIBANHANG.1,5,6-10,B507,3,Nguyễn Thị Liên Hương(CQM014)
BA342,Quản trị các DV bổ trợ trong khách sạn,QTKDDVBOTROKSAN.1,4,1-5,A606,3,Trương Đức Thao(CQL002)
BA342,Quản trị các DV bổ trợ trong khách sạn,QTKDDVBOTROKSAN.2,4,6-10,A606,3,Trương Đức Thao(CQL002)
BA343,Quản trị các loại tiệc,QTRITIEC.1,2,1-5,A507,3,Đỗ Thiện Dụng(CDL010)
BA327,Quản trị chất lượng,QTCHATLUONG.1,3,6-10,B704,3,Lê Thị Hạnh(CQM008)
BA313,Quản trị chiến lược,QTRICHIENLUOC.1,3,6-10,B703,3,Trương Đức Thao(CQL002)
MK322,Quản trị chuỗi cung ứng,QTRICUNGUNG.1,7,1-5,B403,3,Nguyễn Thị Thùy Trang(CQM010)
BA102,Quản trị học đại cương,QUANTRIHOCDC.1,5,1-5,B310,3,Vũ Lệ Hằng(CQM001)
BA236,Quản trị kinh doanh điểm đến,QTRIKDDIEMDEN.1,3,1-5,B308,3,Phạm Trần Thăng Long(CDL004)
BA236,Quản trị kinh doanh điểm đến,QTRIKDDIEMDEN.2,4,1-5,A505,3,Phạm Trần Thăng Long(CDL004)
BA344,Quản trị kinh doanh đồ uống,QTKDDOUONG.1,3,6-10,B301,3,Đỗ Thiện Dụng(CDL010)
BA333,Quản trị kinh doanh khách sạn,QTRIKDKHACHSAN.1,2,1-5,A506,3,Phùng Đức Thiện(CDL007)
FN333,Quản trị rủi ro tài chính,QUANTRIRUIROTC.1,2,6-10,B104,3,Nguyễn Thị Vân Nga(CQL003)
BA420,Quản trị rủi ro trong kinh doanh,QTRUIROKD.2,5,6-10,B306,3,Lê Thị Hạnh(CQM008)
BA211,Quản trị sản xuất và tác nghiệp,QLSXTACNGHIEP.1,3,1-5,B306,3,Vũ Lệ Hằng(CQM001)
BA211,Quản trị sản xuất và tác nghiệp,QLSXTACNGHIEP.2,4,1-5,B402,3,Vương Thị Thanh Trì(CQM004)
FN212,Quản trị tài chính doanh nghiệp 1,QTTAICHINHDN1.1,2,3-5,B301,3,Ngô Thị Quyên(CQB001)
FN212,Quản trị tài chính doanh nghiệp 1,QTTAICHINHDN1.2,4,6-10,A506,3,Lê Thanh Nhàn(CQB019)
FN212,Quản trị tài chính doanh nghiệp 1,QTTAICHINHDN1.1,6,6-7,B303,3,Ngô Thị Quyên(CQB001)
FN313,Quản trị tài chính doanh nghiệp 2,QTTAICHINHDN2.1,3,3-5,B310,3,Chu Thị Thu Thủy(CQB010)
FN313,Quản trị tài chính doanh nghiệp 2,QTTAICHINHDN2.1,4,6-7,B310,3,Chu Thị Thu Thủy(CQB010)
FN221,Tài chính công,TAICHINHCONG.1,3,6-8,B705,2,Nguyễn Thị Tuyết(CQB022)
FN211,Tài chính doanh nghiệp,TAICHINHDN.3,2,6-10,A607,3,Thân Thế Sơn Tùng(CQB026)
FN211,Tài chính doanh nghiệp,TAICHINHDN.1,5,1-5,B307,3,Ngô Thị Quyên(CQB001)
PS211,Tâm lí học du lịch,TAMLIHOCDULICH.1,4,7-10,B401,2,Trần Hoàng Thị Diễm Ngọc(MXW056)
PS211,Tâm lí học du lịch,TAMLIHOCDULICH.2,6,7-10,B401,2,Trần Hoàng Thị Diễm Ngọc(MXW056)
MK305,Tâm lý hành vi người tiêu dùng,TAMLYTIEUDUNG.1,4,1-5,A605,3,Nguyễn Thị Thùy Trang(CQM010)
NR314B,TH Điều dưỡng các bệnh truyền nhiễm,THTRUYENNHIEM.1 (TC),7,1-4,BENHVIEN,1,Lê Đức Sang(CSN017)
NR314B,TH Điều dưỡng các bệnh truyền nhiễm,THTRUYENNHIEM.2 (TC),7,1-4,BENHVIEN,1,Vũ Dũng(CSN012)
NR314B,TH Điều dưỡng các bệnh truyền nhiễm,THTRUYENNHIEM.3 (TC),7,1-4,BENHVIEN,1,Nguyễn Thị Thùy Trang(CSN021)
NR310B,TH Điều dưỡng hồi sức cấp cứu,THHOISUCCAPCUU.1 (TC),7,1-4,BENHVIEN,1,Vũ Dũng(CSN012)
NR310B,TH Điều dưỡng hồi sức cấp cứu,THHOISUCCAPCUU.2 (TC),7,6-9,BENHVIEN,1,Phạm Thành Đồng(CSN020)
NR310B,TH Điều dưỡng hồi sức cấp cứu,THHOISUCCAPCUU.3 (TC),7,6-9,BENHVIEN,1,Phạm Thành Đồng(CSN020)
NR322B,TH điều dưỡng nhi klhoa,THDIEUDUONGNHI.1 (TC),7,1-4,BENHVIEN,1,Lê Đức Sang(CSN017)
NR322B,TH điều dưỡng nhi klhoa,THDIEUDUONGNHI.3 (TC),7,1-4,BENHVIEN,1,Nguyễn Thị Thùy Trang(CSN021)
NR322B,TH điều dưỡng nhi klhoa,THDIEUDUONGNHI.2 (TC),7,6-9,BENHVIEN,1,Lê Đức Sang(CSN017)
NR303B,TH Điều dưỡng phục hồi chức năng,THPHUCHOICN.1 (TC),7,1-4,BENHVIEN,1,Phạm Thành Đồng(CSN020)
NR303B,TH Điều dưỡng phục hồi chức năng,THPHUCHOICN.2 (TC),7,1-4,BENHVIEN,1,Đỗ Quang Tuyển(CSN006)
NR303B,TH Điều dưỡng phục hồi chức năng,THPHUCHOICN.3 (TC),7,1-4,BENHVIEN,1,Nguyễn Thị Thùy Trang(CSN021)
NR303B,TH Điều dưỡng phục hồi chức năng,THPHUCHOICN.4 (TC),7,1-4,BENHVIEN,1,Nguyễn Khánh Huyền(CSN030)
NR343B,TH điều dưỡng sản phụ khoa,THSANPHUKHOA.1 (TC),7,1-4,BENHVIEN,1,Nguyễn Thị Như Mai(CSN003)
NR343B,TH điều dưỡng sản phụ khoa,THSANPHUKHOA.2 (TC),7,6-9,BENHVIEN,1,Nguyễn Thị Như Mai(CSN003)
NR343B,TH điều dưỡng sản phụ khoa,THSANPHUKHOA.3 (TC),7,6-9,BENHVIEN,1,Nguyễn Thị Dèo(MSN068)
NR343B,TH điều dưỡng sản phụ khoa,THSANPHUKHOA.4 (TC),7,6-9,BENHVIEN,1,Nguyễn Thị Dèo(MSN068)
NR343B,TH điều dưỡng sản phụ khoa,THSANPHUKHOA.5 (TC),7,6-9,BENHVIEN,1,Nguyễn Thị Như Mai(CSN003)
NR343B,TH điều dưỡng sản phụ khoa,THSANPHUKHOA.6 (TC),7,6-9,BENHVIEN,1,Nguyễn Thị Như Mai(CSN003)
BK326,Thanh toán quốc tế trong du lịch,THANHTOANQTEDULICH.1,5,1-3,B407,2,Nguyễn Thị Vân Nga(CQL003)
BK326,Thanh toán quốc tế trong du lịch,THANHTOANQTEDULICH.2,6,6-8,B702,2,Ngô Khánh Huyền(CQB002)
FN331,Thị trường chứng khoán,THITRUONGCK.2,2,1-5,Afinance,3,Ngô Khánh Huyền(CQB002)
FN331,Thị trường chứng khoán,THITRUONGCK.1,2,6-7,Afinance,3,Ngô Khánh Huyền(CQB002)
FN331,Thị trường chứng khoán,THITRUONGCK.2,3,6-7,Afinance,3,Ngô Khánh Huyền(CQB002)
